Año;Mes;Dia;Hora;minutos;segundos;Temperatura;Precipitacion;Humedad;Rendimiento
2007;1;2;0;0;0;29.8;0;0;6,3
2007;1;3;0;0;0;30.2;0;80;6,3
2007;1;4;0;0;0;29.2;0;76;6,3
2007;1;5;0;0;0;28.6;0;82;6,3
2007;1;6;0;0;0;28;36;0;6,3
2007;1;7;0;0;0;24.8;10.5;98;6,3
2007;1;8;0;0;0;29.2;131;0;6,3
2007;1;9;0;0;0;25.8;2.5;91;6,3
2007;1;10;0;0;0;27.8;19;91;6,3
2007;1;11;0;0;0;28;12;93;6,3
2007;1;12;0;0;0;29.4;0.6;98;6,3
2007;1;13;0;0;0;28.6;25;85;6,3
2007;1;14;0;0;0;26.6;13.5;91;6,3
2007;1;15;0;0;0;30;10;85;6,3
2007;1;16;0;0;0;29.8;5.5;0;6,3
2007;1;17;0;0;0;27.6;47.5;90;6,3
2007;1;18;0;0;0;27.4;4.2;86;6,3
2007;1;20;0;0;0;25.8;1.6;90;6,3
2007;1;21;0;0;0;28.4;0;0;6,3
2007;1;22;0;0;0;29.6;0.2;0;6,3
2007;1;23;0;0;0;29.8;0;85;6,3
2007;1;24;0;0;0;30;4.3;85;6,3
2007;1;25;0;0;0;28;86;85;6,3
2007;1;26;0;0;0;25.4;0.5;95;6,3
2007;1;27;0;0;0;28.4;0;93;6,3
2007;1;28;0;0;0;30;0;88;6,3
2007;1;29;0;0;0;29.6;0;0;6,3
2007;1;30;0;0;0;29.6;0;83;6,3
2007;1;31;0;0;0;29.4;0;88;6,3
2007;2;1;0;0;0;29.6;0;81;6,3
2007;2;2;0;0;0;31.4;0;83;6,3
2007;2;3;0;0;0;30;1.1;72;6,3
2007;2;4;0;0;0;30.8;0;71;6,3
2007;2;5;0;0;0;30.2;0;75;6,3
2007;2;6;0;0;0;30.6;0;66;6,3
2007;2;7;0;0;0;30.8;0;77;6,3
2007;2;8;0;0;0;30.4;0.4;83;6,3
2007;2;9;0;0;0;29.6;0;82;6,3
2007;2;10;0;0;0;30.8;0;82;6,3
2007;2;11;0;0;0;31;0;81;6,3
2007;2;12;0;0;0;31;0.1;75;6,3
2007;2;13;0;0;0;30.4;0;87;6,3
2007;2;14;0;0;0;30;0;81;6,3
2007;2;15;0;0;0;28.6;0;81;6,3
2007;2;16;0;0;0;29.4;1.7;85;6,3
2007;2;17;0;0;0;27;0.4;86;6,3
2007;2;18;0;0;0;28;0;84;6,3
2007;2;19;0;0;0;28.8;0;86;6,3
2007;2;20;0;0;0;30.2;0;80;6,3
2007;2;21;0;0;0;30.4;0;71;6,3
2007;2;22;0;0;0;30.6;0;79;6,3
2007;2;23;0;0;0;32.6;0;68;6,3
2007;2;24;0;0;0;31.2;0;74;6,3
2007;2;25;0;0;0;30;0;76;6,3
2007;2;26;0;0;0;32.6;1.9;85;6,3
2007;2;27;0;0;0;34.2;0;0;6,3
2007;2;28;0;0;0;34;2;0;6,3
2007;3;1;0;0;0;34;0;88;6,3
2007;3;2;0;0;0;33.8;0;63;6,3
2007;3;3;0;0;0;33;0.9;70;6,3
2007;3;4;0;0;0;29.6;0;87;6,3
2007;3;5;0;0;0;29.8;0;90;6,3
2007;3;6;0;0;0;31;59;78;6,3
2007;3;7;0;0;0;29.8;0.2;93;6,3
2007;3;8;0;0;0;30;0.3;95;6,3
2007;3;9;0;0;0;26.4;0;93;6,3
2007;3;10;0;0;0;29.8;0;0;6,3
2007;3;11;0;0;0;29.6;0;88;6,3
2007;3;12;0;0;0;30.2;4.5;74;6,3
2007;3;13;0;0;0;29.4;0.5;83;6,3
2007;3;15;0;0;0;29;2.2;75;6,3
2007;3;16;0;0;0;27.8;6.8;84;6,3
2007;3;17;0;0;0;26.4;6.5;0;6,3
2007;3;18;0;0;0;29.8;0;93;6,3
2007;3;19;0;0;0;30;0;83;6,3
2007;3;20;0;0;0;30.6;0;90;6,3
2007;3;21;0;0;0;28.6;73;93;6,3
2007;3;22;0;0;0;26.6;12.5;93;6,3
2007;3;23;0;0;0;29;76;94;6,3
2007;3;24;0;0;0;28.2;0;87;6,3
2007;3;25;0;0;0;25.2;76.5;85;6,3
2007;3;26;0;0;0;29;53;93;6,3
2007;3;27;0;0;0;25.6;0;93;6,3
2007;3;28;0;0;0;29.4;99;80;6,3
2007;3;29;0;0;0;27.8;11;93;6,3
2007;3;30;0;0;0;28.2;11.5;93;6,3
2007;3;31;0;0;0;27.2;0.1;0;6,3
2007;4;1;0;0;0;31;20;91;6,3
2007;4;2;0;0;0;29.2;0;95;6,3
2007;4;3;0;0;0;29.4;47.5;90;6,3
2007;4;4;0;0;0;28;18.5;93;6,3
2007;4;5;0;0;0;28;53;95;6,3
2007;4;6;0;0;0;27.6;0;88;6,3
2007;4;7;0;0;0;29.6;3.8;90;6,3
2007;4;8;0;0;0;27.2;2.1;93;6,3
2007;4;9;0;0;0;27.6;10.5;91;6,3
2007;4;10;0;0;0;29.4;2.5;86;6,3
2007;4;11;0;0;0;29.8;0;93;6,3
2007;4;12;0;0;0;30.2;0;85;6,3
2007;4;13;0;0;0;30;10.5;0;6,3
2007;4;14;0;0;0;29.6;0.2;90;6,3
2007;4;15;0;0;0;30.2;3.9;83;6,3
2007;4;16;0;0;0;27.8;13.1;0;6,3
2007;4;17;0;0;0;29.6;53;0;6,3
2007;4;18;0;0;0;25.6;3.5;95;6,3
2007;4;19;0;0;0;28.4;68;0;6,3
2007;4;20;0;0;0;24.8;1.5;95;6,3
2007;4;21;0;0;0;28;27.5;91;6,3
2007;4;22;0;0;0;26.4;0;95;6,3
2007;4;23;0;0;0;28.8;2.5;90;6,3
2007;4;24;0;0;0;29.4;73.5;95;6,3
2007;4;25;0;0;0;28.6;37.2;94;6,3
2007;4;26;0;0;0;28;13.5;95;6,3
2007;4;27;0;0;0;28.4;0;91;6,3
2007;4;28;0;0;0;29.2;7;82;6,3
2007;4;29;0;0;0;28.2;0;95;6,3
2007;4;30;0;0;0;29;17;0;6,3
2007;5;1;0;0;0;28.2;11;89;6,3
2007;5;2;0;0;0;27;0.5;92;6,3
2007;5;3;0;0;0;26.8;7;88;6,3
2007;5;4;0;0;0;27.2;2.4;95;6,3
2007;5;5;0;0;0;30.2;0;0;6,3
2007;5;6;0;0;0;28.6;18;84;6,3
2007;5;7;0;0;0;29;7;96;6,3
