Año;Mes;Temperatura;Precipitacion;Humedad;Rendimiento
2007;1;28,44;14,13;85,00;0,53
2007;2;30,51;0,27;80,50;0,53
2007;3;28,67;18,24;88,00;0,53
2007;4;28,57;16,33;91,00;0,53
2007;5;27,89;7,40;89,00;0,53
2007;6;29,03;3,48;79,50;0,53
2007;7;29,98;4,86;84,00;0,53
2007;8;29,34;7,29;87,00;0,53
2007;9;29,73;10,44;88,50;0,53
2007;10;28,14;27,85;93,00;0,53
2007;11;27,83;16,29;90,00;0,53
2007;12;27,45;10,81;89,00;0,53
2008;1;27,97;6,82;87,00;0,50
2008;2;28,00;10,06;86,00;0,50
2008;3;28,05;15,56;88,00;0,50
2008;4;28,25;11,81;89,00;0,50
2008;5;28,01;17,62;93,00;0,50
2008;6;28,75;7,90;90,00;0,50
2008;7;28,59;7,60;91,00;0,50
2008;8;28,47;14,50;91,00;0,50
2008;9;28,93;9,20;85,50;0,50
2008;10;28,30;15,37;87,00;0,50
2008;11;27,49;40,61;90,00;0,50
2008;12;27,62;9,51;86,00;0,50
2009;1;27,80;18,32;88,00;2,50
2009;2;28,38;5,64;86,00;0,22
2009;3;27,57;14,29;90,00;0,22
2009;4;28,89;10,11;89,00;0,22
2009;5;28,51;14,66;88,00;0,22
2009;6;28,87;5,80;87,00;0,22
2009;7;30,52;1,27;79,00;0,22
2009;8;30,74;7,59;73,00;0,22
2009;9;31,63;3,18;80,00;0,22
2009;10;29,33;19,86;88,00;0,22
2009;11;28,40;22,71;88,50;0,22
2009;12;28,81;9,32;87,00;0,22
2010;1;29,78;7,98;84,50;0,50
2010;2;30,59;7,19;86,00;0,50
2010;3;30,49;12,99;88,00;0,50
2010;4;29,11;13,77;90,00;0,50
2010;5;29,32;13,55;90,00;0,50
2010;6;28,91;6,74;89,50;0,50
2010;7;28,20;9,71;91,00;0,50
2010;8;29,63;6,52;89,00;0,50
2010;9;28,42;10,73;91,50;0,50
2010;10;28,57;22,33;90,00;0,50
2010;11;27,45;31,01;93,00;0,50
2010;12;27,70;20,92;89,00;0,50
2011;1;29,01;5,42;88,00;0,50
2011;2;28,39;18,53;92,00;0,50
2011;3;28,39;19,76;90,00;0,50
2011;4;28,51;12,61;92,50;0,50
2011;5;28,63;11,74;88,00;0,50
2011;6;29,06;8,21;89,00;0,50
2011;7;29,57;5,35;86,00;0,50
2011;8;30,55;9,25;89,00;0,50
2011;9;29,70;6,81;85,50;0,50
2011;10;27,97;16,58;90,00;0,50
2011;11;28,21;16,60;90,50;0,50
2011;12;28,28;27,24;91,00;0,50
2012;1;28,59;18,57;91,00;0,50
2012;2;29,52;3,55;83,00;0,50
2012;3;29,21;11,66;89,00;0,50
2012;4;28,54;16,36;88,00;0,50
2012;5;29,23;13,09;89,00;0,50
2012;6;30,39;3,90;81,50;0,50
2012;7;30,95;1,41;73,00;0,50
2012;8;30,95;5,78;83,00;0,50
2012;9;31,69;3,63;80,00;0,50
2012;10;29,30;16,18;90,00;0,50
2012;11;29,21;14,44;88,00;0,50
2012;12;28,98;13,10;86,00;0,50
2013;1;30,28;3,44;82,00;0,50
2013;2;29,31;25,31;91,00;0,50
2013;3;29,69;7,97;88,00;0,50
2013;4;29,93;8,87;90,00;0,50
2013;5;28,55;14,25;93,00;0,50
2013;6;30,19;8,43;87,00;0,50
2013;7;30,23;2,94;79,00;0,50
2013;8;30,48;5,38;86,00;0,50
2013;9;30,31;12,56;86,00;0,50
2013;10;30,10;8,16;87,00;0,50
2013;11;28,41;18,74;93,00;0,50
2013;12;28,79;6,49;88,00;0,50
2014;1;28,94;17,32;88,00;0,50
2014;2;28,96;11,10;89,00;0,50
2014;3;29,29;5,54;88,00;0,50
2014;4;30,24;15,77;86,00;0,50
2014;5;29,05;11,38;90,00;0,50
2014;6;29,95;4,08;78,50;0,50
2014;7;32,06;0,67;62,00;0,50
2014;8;31,61;1,84;78,00;0,50
2014;9;31,37;9,23;80,50;0,50
2014;10;29,31;17,62;90,00;0,50
2014;11;28,97;18,25;89,50;0,50
2014;12;29,38;8,12;90,00;0,50
2015;1;30,21;10,78;85,00;0,50
2015;2;29,46;4,05;85,50;0,50
2015;3;29,86;9,29;87,00;0,50
2015;4;30,06;9,37;90,00;0,50
2015;5;30,59;5,02;90,00;0,50
2015;6;30,37;0,85;88,00;0,50
2015;7;32,59;1,17;83,00;0,50
2015;8;32,45;1,83;79,00;0,50
2015;9;32,32;3,98;81,00;0,50
2015;10;29,08;12,02;88,00;0,50
