Año;Temperatura;Precipitacion;Humedad;Rendimiento
2007,00;29.06;2823,00;76.02;6.3
2008,00;28.32;3929,00;82.04;6,00
2009,00;28.85;3048,00;74.44;2.5
2010,00;28.92;3347,00;84.66;6,00
2011,00;28.61;3238,00;83.28;6,00
2012,00;29.71;2973,00;81.11;6,00
2013,00;29.44;3059,00;84.85;6,00
2014,00;29.44;2398,00;80.41;6,00
2015,00;30.45;2001,00;81.67;6,00
2016,00;29.43;2314,00;82.66;6,00
2017,00;28.83;2789,00;84.12;6,00
2018,00;28.84;1749,00;79.09;6,00
2019,00;29.07;1209,00;80.68;6,00
2020,00;28.96;1396,00;82.59;9,00
2021,00;28.09;1807,00;82.54;8,00
2022,00;27.53;2176,00;86.87;8,00
2023,00;28.85;704,00;84.4;8,00
